O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
382,27-2012.04,Talent Directors,0.013,0.294,0.423,0.27,0.761,0.667,0.714,0.761,0.429,0.714,0.819,0.501,0.854,0.201,0.179,0.619
383,27-2012.05,Media Technical Directors/Managers,0.042,0.033,0.921,0.004,0.667,0.857,0.714,0.714,0.761,0.739,0.499,0.621,0.706,0.389,0.561,0.364
384,27-2021.00,Athletes and Sports Competitors,0.581,0.174,0.245,0.0,0.857,0.619,0.81,0.81,0.714,0.571,0.317,0.411,0.644,0.226,0.714,0.626
385,27-2022.00,Coaches and Scouts,0.125,0.174,0.489,0.212,0.857,0.857,0.571,0.857,0.524,0.571,0.347,0.491,0.733,0.307,0.609,0.759
386,27-2023.00,"Umpires, Referees, and Other Sports Officials",0.667,0.14300000000000002,0.143,0.048,0.81,0.619,0.571,0.524,0.524,0.524,0.156,0.663,0.813,0.236,0.626,0.477
387,27-2031.00,Dancers,0.793,0.20700000000000002,0.0,0.0,0.761,0.524,0.571,0.714,0.429,0.571,0.903,0.237,0.464,0.2,0.683,0.526
388,27-2032.00,Choreographers,0.42800000000000005,0.33299999999999996,0.19,0.048,0.857,0.81,0.761,0.81,0.286,0.596,1.0,0.269,0.543,0.297,0.524,0.583
389,27-2041.00,Music Directors and Composers,0.089,0.14100000000000001,0.24,0.529,0.904,0.786,0.739,0.69,0.453,0.631,1.0,0.37,0.681,0.326,0.291,0.437
390,27-2042.00,Musicians and Singers,0.313,0.089,0.291,0.30600000000000005,0.761,0.476,0.619,0.81,0.286,0.56,0.951,0.31,0.487,0.219,0.41,0.486
393,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,0.162,0.20900000000000002,0.55,0.078,0.761,0.714,0.714,0.619,0.667,0.547,0.793,0.45,0.64,0.283,0.246,0.5
395,27-3031.00,Public Relations Specialists,0.0,0.0,0.909,0.091,0.81,0.81,0.667,0.761,0.667,0.761,0.674,0.496,0.83,0.399,0.143,0.563
396,27-3041.00,Editors,0.0,0.0,0.804,0.19600000000000004,0.761,0.857,0.714,0.619,0.571,0.619,0.737,0.693,0.576,0.444,0.143,0.359
397,27-3042.00,Technical Writers,0.0,0.58,0.33,0.09,0.619,0.667,0.476,0.429,0.524,0.667,0.603,0.761,0.284,0.529,0.401,0.286
398,27-3043.00,Writers and Authors,0.0,0.5309999999999999,0.47,0.0,0.714,0.524,0.524,0.571,0.619,0.596,0.99,0.454,0.686,0.466,0.143,0.406
399,27-3043.05,"Poets, Lyricists and Creative Writers",0.227,0.273,0.318,0.182,0.857,0.81,0.714,0.381,0.286,0.69,1.0,0.406,0.441,0.547,0.196,0.393
400,27-3091.00,Interpreters and Translators,0.08,0.056999999999999995,0.547,0.316,0.524,0.524,0.571,0.761,0.524,0.596,0.629,0.663,0.269,0.451,0.27,0.501
401,27-3092.00,Court Reporters and Simultaneous Captioners,0.055,0.916,0.0,0.029,0.571,0.524,0.429,0.619,0.571,0.476,0.423,0.801,0.381,0.301,0.32,0.411
403,27-4011.00,Audio and Video Technicians,0.251,0.323,0.427,0.0,0.429,0.619,0.333,0.619,0.619,0.5,0.464,0.654,0.269,0.393,0.739,0.283
404,27-4012.00,Broadcast Technicians,0.174,0.802,0.024,0.0,0.571,0.571,0.429,0.476,0.619,0.524,0.399,0.711,0.349,0.443,0.706,0.306
405,27-4014.00,Sound Engineering Technicians,0.37,0.40700000000000003,0.222,0.0,0.761,0.857,0.667,0.81,0.429,0.69,0.634,0.609,0.274,0.371,0.72,0.256
407,27-4021.00,Photographers,0.273,0.545,0.136,0.046,0.619,0.714,0.524,0.667,0.381,0.5,0.74,0.49,0.329,0.327,0.784,0.264
408,27-4031.00,"Camera Operators, Television, Video, and Film",0.178,0.753,0.069,0.0,0.524,0.619,0.571,0.619,0.667,0.571,0.75,0.5,0.334,0.281,0.681,0.263
409,27-4032.00,Film and Video Editors,0.163,0.18000000000000002,0.651,0.006,0.714,0.761,0.714,0.381,0.381,0.643,0.779,0.57,0.426,0.281,0.467,0.267
411,29-1011.00,Chiropractors,0.036,0.068,0.0,0.8959999999999999,0.81,0.904,0.714,0.904,0.571,0.786,0.193,0.504,0.319,0.723,0.741,0.819
412,29-1021.00,"Dentists, General",0.0,0.128,0.0,0.872,0.857,0.953,0.81,0.857,0.476,0.833,0.164,0.55,0.279,0.771,0.759,0.61
413,29-1022.00,Oral and Maxillofacial Surgeons,0.0,0.0,0.0,1.0,0.857,0.904,0.857,0.857,0.667,0.857,0.174,0.519,0.314,0.844,0.8,0.639
414,29-1023.00,Orthodontists,0.015,0.077,0.027,0.881,0.857,0.953,0.857,0.857,0.571,0.857,0.239,0.679,0.183,0.834,0.829,0.563
415,29-1024.00,Prosthodontists,0.0,0.029,0.0,0.971,0.81,0.857,0.761,0.857,0.667,0.739,0.24,0.487,0.223,0.804,0.88,0.636
417,29-1031.00,Dietitians and Nutritionists,0.0,0.033,0.1,0.8660000000000001,0.714,0.81,0.714,0.857,0.571,0.667,0.343,0.48,0.489,0.686,0.433,0.786
418,29-1041.00,Optometrists,0.0,0.0,0.0,1.0,0.857,0.81,0.857,0.857,0.667,0.881,0.229,0.56,0.324,0.826,0.686,0.717
419,29-1051.00,Pharmacists,0.018,0.0,0.115,0.8690000000000001,0.667,0.667,0.81,0.714,0.761,0.667,0.211,0.669,0.361,0.807,0.411,0.687
420,29-1071.00,Physician Assistants,0.0,0.0,0.054,0.9460000000000001,0.761,0.714,0.667,0.857,0.761,0.786,0.176,0.651,0.296,0.711,0.541,0.83
421,29-1071.01,Anesthesiologist Assistants,0.218,0.20900000000000002,0.0,0.573,0.619,0.571,0.571,0.714,0.761,0.596,0.143,0.68,0.267,0.673,0.65,0.714
422,29-1081.00,Podiatrists,0.007,0.0,0.0,0.994,0.857,0.857,0.81,0.857,0.667,0.786,0.253,0.453,0.31,0.813,0.746,0.723
423,29-1122.00,Occupational Therapists,0.0,0.0,0.136,0.864,0.857,0.81,0.619,1.0,0.714,0.833,0.436,0.437,0.259,0.62,0.497,0.876
424,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.0,0.0,0.174,0.826,0.714,0.714,0.667,0.857,0.619,0.619,0.457,0.404,0.303,0.556,0.561,0.931
425,29-1123.00,Physical Therapists,0.0,0.063,0.083,0.854,0.81,0.761,0.81,0.953,0.667,0.761,0.31,0.44,0.356,0.696,0.62,0.844
426,29-1124.00,Radiation Therapists,0.0,0.624,0.375,0.0,0.714,0.667,0.619,0.904,0.904,0.714,0.176,0.646,0.247,0.663,0.697,0.679
427,29-1125.00,Recreational Therapists,0.0,0.0,0.919,0.081,0.714,0.667,0.571,1.0,0.524,0.596,0.433,0.357,0.36,0.596,0.546,0.98
428,29-1126.00,Respiratory Therapists,0.0,0.88,0.117,0.004,0.619,0.571,0.667,0.857,0.81,0.643,0.143,0.549,0.246,0.687,0.703,0.721
429,29-1127.00,Speech-Language Pathologists,0.0,0.0,0.0,1.0,0.81,0.761,0.667,0.953,0.571,0.739,0.424,0.576,0.204,0.804,0.384,0.844
430,29-1128.00,Exercise Physiologists,0.0,0.0,0.591,0.40900000000000003,0.857,0.81,0.714,0.904,0.476,0.667,0.24,0.503,0.439,0.696,0.723,0.689
432,29-1129.01,Art Therapists,0.0,0.0,0.0,0.999,0.81,0.761,0.619,1.0,0.524,0.643,0.83,0.356,0.333,0.481,0.426,0.837
433,29-1129.02,Music Therapists,0.0,0.0,0.731,0.269,0.857,0.81,0.667,1.0,0.476,0.667,0.737,0.411,0.366,0.551,0.309,0.789
434,29-1131.00,Veterinarians,0.0,0.0,0.0,1.0,1.0,0.904,0.857,0.857,0.667,0.833,0.143,0.503,0.244,0.849,0.853,0.49
435,29-1141.00,Registered Nurses,0.008,0.41900000000000004,0.559,0.014,0.761,0.761,0.667,0.904,0.857,0.69,0.187,0.654,0.326,0.689,0.523,0.803
436,29-1141.01,Acute Care Nurses,0.0,0.536,0.393,0.071,0.81,0.667,0.619,0.904,0.81,0.739,0.211,0.499,0.231,0.773,0.577,0.839
437,29-1141.02,Advanced Practice Psychiatric Nurses,0.0,0.0,0.0,1.0010000000000001,0.667,0.571,0.667,0.81,0.714,0.761,0.374,0.549,0.261,0.846,0.391,0.841
438,29-1141.03,Critical Care Nurses,0.0,0.357,0.5,0.143,0.81,0.81,0.761,0.953,0.857,0.739,0.226,0.56,0.296,0.724,0.586,0.786
439,29-1141.04,Clinical Nurse Specialists,0.0,0.0,0.0,1.0,0.761,0.714,0.714,0.761,0.857,0.714,0.244,0.601,0.56,0.71,0.346,0.87
440,29-1151.00,Nurse Anesthetists,0.0,0.0,0.0,1.0,0.667,0.571,0.571,0.714,0.761,0.571,0.143,0.607,0.274,0.706,0.714,0.74
441,29-1161.00,Nurse Midwives,0.0,0.0,0.0,0.9990000000000001,0.81,0.761,0.714,0.953,0.571,0.714,0.273,0.487,0.417,0.619,0.489,0.836
442,29-1171.00,Nurse Practitioners,0.0,0.0,0.044,0.9570000000000001,0.81,0.81,0.714,0.953,0.81,0.786,0.187,0.611,0.304,0.789,0.524,0.766
443,29-1181.00,Audiologists,0.0,0.0,0.0,1.0,0.81,0.714,0.714,0.904,0.714,0.786,0.304,0.594,0.23,0.861,0.584,0.823
444,29-1211.00,Anesthesiologists,0.0,0.0,0.0,1.0,0.857,0.857,0.81,0.857,0.81,0.786,0.161,0.564,0.354,0.824,0.733,0.746
446,29-1213.00,Dermatologists,0.0,0.068,0.0,0.9319999999999999,0.857,0.81,0.81,0.81,0.714,0.81,0.251,0.521,0.251,0.899,0.793,0.613
448,29-1215.00,Family Medicine Physicians,0.0,0.003,0.022,0.9749999999999999,0.904,0.904,0.904,0.953,0.714,0.857,0.207,0.564,0.334,0.869,0.536,0.887
449,29-1216.00,General Internal Medicine Physicians,0.0,0.0,0.0,1.0,0.904,0.904,0.904,0.904,0.761,0.857,0.203,0.523,0.301,0.976,0.626,0.876
450,29-1217.00,Neurologists,0.024,0.0,0.0,0.977,0.904,0.81,0.904,0.761,0.761,0.857,0.299,0.519,0.346,1.0,0.559,0.76
451,29-1218.00,Obstetricians and Gynecologists,0.0,0.0,0.0,0.999,0.904,0.904,0.904,0.81,0.667,0.857,0.191,0.591,0.373,0.773,0.653,0.771
452,29-1221.00,"Pediatricians, General",0.0,0.0,0.0,1.0,0.953,0.904,0.953,0.953,0.667,0.857,0.253,0.504,0.356,0.886,0.537,0.947
453,29-1222.00,"Physicians, Pathologists",0.0,0.0,0.0,0.999,0.81,0.81,0.761,0.619,0.667,0.69,0.171,0.653,0.2,1.0,0.766,0.494
454,29-1223.00,Psychiatrists,0.005,0.0,0.0,0.995,0.904,0.904,0.904,0.904,0.619,0.881,0.389,0.557,0.303,0.91,0.306,0.854
455,29-1224.00,Radiologists,0.0,0.14100000000000001,0.0,0.859,0.81,0.761,0.761,0.714,0.761,0.714,0.17,0.686,0.306,0.943,0.68,0.559
457,29-1229.01,Allergists and Immunologists,0.069,0.059000000000000004,0.0,0.873,0.857,0.904,0.904,0.667,0.714,0.739,0.24,0.506,0.319,0.989,0.584,0.729
458,29-1229.02,Hospitalists,0.0,0.0,0.04,0.96,0.904,0.81,0.857,0.761,0.81,0.761,0.221,0.593,0.449,0.669,0.519,0.864
459,29-1229.03,Urologists,0.0,0.0,0.0,1.0,0.857,0.761,0.857,0.761,0.761,0.833,0.176,0.489,0.33,0.986,0.737,0.737
460,29-1229.04,Physical Medicine and Rehabilitation Physicians,0.0,0.0,0.008,0.9910000000000001,0.904,0.857,0.904,0.761,0.619,0.833,0.289,0.426,0.244,0.909,0.65,0.853
461,29-1229.05,Preventive Medicine Physicians,0.0,0.0,0.0,1.0,0.857,0.857,0.904,0.81,0.714,0.81,0.263,0.477,0.337,0.974,0.469,0.77
462,29-1229.06,Sports Medicine Physicians,0.0,0.0,0.0,1.0,0.904,0.857,0.904,0.761,0.714,0.881,0.18,0.497,0.47,0.784,0.724,0.751
463,29-1241.00,"Ophthalmologists, Except Pediatric",0.0,0.099,0.0,0.901,0.857,0.857,0.81,0.761,0.714,0.761,0.231,0.531,0.409,0.904,0.683,0.754
467,29-1291.00,Acupuncturists,0.0,0.0,0.0,1.0,0.714,0.714,0.571,0.714,0.571,0.643,0.303,0.444,0.253,0.76,0.657,0.814
468,29-1292.00,Dental Hygienists,0.0,0.752,0.031,0.217,0.619,0.667,0.524,0.953,0.714,0.643,0.169,0.613,0.239,0.669,0.734,0.78
470,29-1299.01,Naturopathic Physicians,0.0,0.0,0.0,1.0,0.81,0.81,0.667,0.904,0.714,0.739,0.274,0.511,0.284,0.847,0.591,0.826
471,29-1299.02,Orthoptists,0.0,0.036,0.071,0.893,0.714,0.81,0.571,0.761,0.619,0.786,0.294,0.544,0.234,0.796,0.669,0.664
472,29-2011.00,Medical and Clinical Laboratory Technologists,0.003,0.313,0.594,0.091,0.619,0.667,0.524,0.619,0.81,0.547,0.159,0.713,0.221,0.881,0.826,0.4
473,29-2011.01,Cytogenetic Technologists,0.0,0.0,0.762,0.238,0.81,0.761,0.667,0.381,0.524,0.643,0.21,0.724,0.221,0.851,0.767,0.27
474,29-2011.02,Cytotechnologists,0.0,0.0,0.5,0.5,0.81,0.714,0.714,0.476,0.619,0.643,0.164,0.696,0.253,0.873,0.837,0.363
476,29-2012.00,Medical and Clinical Laboratory Technicians,0.042,0.322,0.459,0.176,0.429,0.524,0.381,0.619,0.761,0.476,0.143,0.694,0.143,0.839,0.86,0.409
478,29-2031.00,Cardiovascular Technologists and Technicians,0.098,0.835,0.028,0.038,0.619,0.714,0.571,0.857,0.857,0.619,0.143,0.66,0.19,0.77,0.787,0.61
479,29-2032.00,Diagnostic Medical Sonographers,0.0,0.6639999999999999,0.168,0.167,0.714,0.667,0.619,0.81,0.81,0.714,0.167,0.734,0.216,0.673,0.851,0.593
480,29-2033.00,Nuclear Medicine Technologists,0.0,0.6859999999999999,0.215,0.099,0.761,0.714,0.619,0.904,0.81,0.761,0.143,0.743,0.187,0.796,0.856,0.44
481,29-2034.00,Radiologic Technologists and Technicians,0.0,0.893,0.106,0.0,0.596,0.667,0.5,0.81,0.786,0.607,0.143,0.696,0.143,0.661,0.893,0.511
482,29-2035.00,Magnetic Resonance Imaging Technologists,0.044,0.8260000000000001,0.087,0.044,0.667,0.429,0.476,0.524,0.619,0.643,0.143,0.704,0.177,0.673,0.773,0.489
486,29-2051.00,Dietetic Technicians,0.172,0.76,0.067,0.0,0.381,0.429,0.333,0.761,0.761,0.404,0.35,0.526,0.351,0.494,0.549,0.763
487,29-2052.00,Pharmacy Technicians,0.357,0.604,0.038,0.0,0.429,0.429,0.429,0.761,0.714,0.404,0.143,1.0,0.364,0.447,0.58,0.48
488,29-2053.00,Psychiatric Technicians,0.198,0.483,0.298,0.021,0.524,0.571,0.429,0.857,0.761,0.571,0.299,0.519,0.197,0.661,0.49,0.959
489,29-2055.00,Surgical Technologists,0.05,0.9500000000000001,0.0,0.0,0.667,0.524,0.571,0.857,0.857,0.619,0.143,0.693,0.23,0.46,0.894,0.546
490,29-2056.00,Veterinary Technologists and Technicians,0.412,0.484,0.049,0.055,0.476,0.524,0.524,0.714,0.667,0.524,0.143,0.651,0.143,0.751,0.959,0.431
491,29-2057.00,Ophthalmic Medical Technicians,0.591,0.41000000000000003,0.0,0.0,0.571,0.476,0.476,0.714,0.667,0.5,0.143,0.687,0.234,0.68,0.767,0.639
492,29-2061.00,Licensed Practical and Licensed Vocational Nurses,0.0,0.889,0.111,0.0,0.761,0.714,0.571,0.904,0.81,0.619,0.153,0.653,0.304,0.524,0.654,0.787
494,29-2081.00,"Opticians, Dispensing",0.458,0.542,0.0,0.0,0.524,0.761,0.476,0.714,0.619,0.547,0.206,0.783,0.467,0.319,0.616,0.433
495,29-2091.00,Orthotists and Prosthetists,0.0,0.0,0.05,0.9500000000000001,0.81,0.857,0.667,0.857,0.761,0.81,0.307,0.514,0.227,0.729,0.824,0.633
496,29-2092.00,Hearing Aid Specialists,0.221,0.212,0.004,0.563,0.667,0.667,0.524,0.81,0.619,0.69,0.256,0.601,0.259,0.624,0.524,0.677
498,29-2099.01,Neurodiagnostic Technologists,0.0,0.839,0.161,0.0,0.571,0.619,0.476,0.714,0.761,0.571,0.21,0.649,0.189,0.814,0.754,0.511
499,29-2099.05,Ophthalmic Medical Technologists,0.3,0.44999999999999996,0.15,0.1,0.714,0.571,0.619,0.714,0.571,0.619,0.17,0.669,0.287,0.674,0.776,0.614
500,29-2099.08,Patient Representatives,0.266,0.349,0.153,0.232,0.667,0.619,0.524,0.904,0.667,0.619,0.226,0.531,0.439,0.579,0.184,0.963
502,29-9091.00,Athletic Trainers,0.083,0.0,0.374,0.543,0.857,0.81,0.619,0.857,0.571,0.739,0.156,0.474,0.324,0.627,0.791,0.814
503,29-9092.00,Genetic Counselors,0.0,0.0,0.0,1.0,0.714,0.667,0.714,0.857,0.619,0.667,0.334,0.556,0.39,0.837,0.237,0.779
504,29-9093.00,Surgical Assistants,0.132,0.51,0.078,0.28099999999999997,0.667,0.381,0.619,0.857,0.619,0.547,0.143,0.634,0.251,0.496,0.814,0.547
506,29-9099.01,Midwives,0.0,0.41600000000000004,0.122,0.46199999999999997,0.81,0.761,0.619,0.953,0.476,0.571,0.254,0.51,0.384,0.554,0.54,0.856
507,31-1121.00,Home Health Aides,0.632,0.367,0.0,0.0,0.333,0.381,0.286,0.619,0.571,0.357,0.213,0.503,0.251,0.454,0.601,0.904
508,31-1122.00,Personal Care Aides,0.653,0.347,0.0,0.0,0.571,0.476,0.381,0.81,0.571,0.429,0.257,0.546,0.366,0.26,0.517,0.887
509,31-1131.00,Nursing Assistants,0.41400000000000003,0.45999999999999996,0.061,0.066,0.429,0.333,0.333,0.81,0.667,0.453,0.143,0.603,0.251,0.39,0.657,0.817
510,31-1132.00,Orderlies,0.9590000000000001,0.041,0.0,0.0,0.333,0.286,0.286,0.619,0.667,0.404,0.143,0.633,0.174,0.316,0.784,0.62
511,31-1133.00,Psychiatric Aides,0.242,0.718,0.041,0.0,0.571,0.714,0.429,0.857,0.761,0.571,0.259,0.567,0.263,0.576,0.519,0.947
512,31-2011.00,Occupational Therapy Assistants,0.0,0.9680000000000001,0.027,0.005,0.714,0.619,0.381,0.857,0.667,0.69,0.306,0.547,0.159,0.496,0.521,0.896
513,31-2012.00,Occupational Therapy Aides,0.368,0.6139999999999999,0.0,0.018,0.667,0.667,0.381,0.714,0.714,0.547,0.241,0.531,0.26,0.364,0.559,0.857
514,31-2021.00,Physical Therapist Assistants,0.0,0.842,0.149,0.01,0.667,0.667,0.476,0.953,0.714,0.714,0.219,0.54,0.193,0.521,0.637,0.916
515,31-2022.00,Physical Therapist Aides,0.44499999999999995,0.368,0.086,0.101,0.667,0.524,0.429,0.953,0.667,0.5,0.156,0.554,0.291,0.364,0.696,0.836
516,31-9011.00,Massage Therapists,0.038,0.9229999999999999,0.038,0.0,0.524,0.667,0.476,0.761,0.429,0.5,0.323,0.376,0.296,0.551,0.681,0.821
517,31-9091.00,Dental Assistants,0.286,0.714,0.0,0.0,0.476,0.524,0.429,0.857,0.81,0.596,0.143,0.78,0.191,0.507,0.641,0.621
518,31-9092.00,Medical Assistants,0.205,0.619,0.175,0.0,0.667,0.476,0.476,0.81,0.81,0.596,0.143,0.823,0.283,0.543,0.58,0.687
519,31-9093.00,Medical Equipment Preparers,0.438,0.391,0.153,0.018,0.381,0.381,0.381,0.714,0.761,0.429,0.143,0.79,0.143,0.489,0.973,0.324
520,31-9094.00,Medical Transcriptionists,0.167,0.8320000000000001,0.0,0.0,0.429,0.381,0.381,0.571,0.667,0.381,0.25,0.889,0.174,0.511,0.351,0.527
521,31-9095.00,Pharmacy Aides,0.762,0.238,0.0,0.0,0.429,0.476,0.381,0.714,0.714,0.333,0.143,0.976,0.553,0.216,0.519,0.45
522,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,0.8460000000000001,0.149,0.0,0.005,0.333,0.333,0.333,0.761,0.714,0.381,0.143,0.563,0.143,0.606,0.901,0.499
523,31-9097.00,Phlebotomists,0.318,0.6360000000000001,0.0,0.046,0.571,0.381,0.429,0.571,0.667,0.5,0.143,0.776,0.206,0.649,0.793,0.527
525,31-9099.01,Speech-Language Pathology Assistants,0.0,0.577,0.233,0.189,0.619,0.524,0.524,0.667,0.667,0.596,0.406,0.689,0.219,0.626,0.323,0.79
526,31-9099.02,Endoscopy Technicians,0.538,0.46099999999999997,0.0,0.0,0.524,0.429,0.524,0.667,0.81,0.5,0.143,0.703,0.15,0.587,0.903,0.47
527,33-1011.00,First-Line Supervisors of Correctional Officers,0.59,0.304,0.107,0.0,0.667,0.761,0.571,0.619,0.857,0.643,0.143,0.716,0.917,0.259,0.496,0.654
528,33-1012.00,First-Line Supervisors of Police and Detectives,0.564,0.24100000000000002,0.194,0.0,0.714,0.904,0.857,0.761,0.714,0.761,0.157,0.739,1.0,0.329,0.473,0.553
529,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.32199999999999995,0.5429999999999999,0.096,0.038,0.761,0.81,0.714,0.714,0.786,0.75,0.143,0.667,0.879,0.321,0.734,0.531
532,33-2011.00,Firefighters,0.45299999999999996,0.513,0.004,0.031,0.786,0.667,0.69,0.81,0.833,0.643,0.186,0.494,0.43,0.416,0.931,0.486
533,33-2021.00,Fire Inspectors and Investigators,0.29400000000000004,0.663,0.016,0.026000000000000002,0.739,0.739,0.643,0.596,0.739,0.667,0.147,0.74,0.471,0.621,0.777,0.37
534,33-2022.00,Forest Fire Inspectors and Prevention Specialists,0.316,0.443,0.24,0.0,0.761,0.714,0.619,0.714,0.619,0.571,0.17,0.644,0.483,0.524,0.884,0.476
535,33-3011.00,Bailiffs,0.458,0.542,0.0,0.0,0.476,0.524,0.476,0.714,0.667,0.476,0.143,0.697,0.547,0.304,0.72,0.43
536,33-3012.00,Correctional Officers and Jailers,0.924,0.076,0.0,0.0,0.571,0.667,0.429,0.761,0.857,0.5,0.144,0.671,0.459,0.244,0.764,0.556
537,33-3021.00,Detectives and Criminal Investigators,0.325,0.575,0.1,0.0,0.739,0.714,0.69,0.619,0.69,0.739,0.171,0.69,0.577,0.7,0.597,0.39
538,33-3021.02,Police Identification and Records Officers,0.132,0.39,0.26,0.217,0.667,0.667,0.667,0.714,0.81,0.643,0.221,0.83,0.436,0.553,0.633,0.291
539,33-3021.06,Intelligence Analysts,0.0,0.131,0.652,0.217,0.857,0.619,0.714,0.524,0.571,0.739,0.311,0.787,0.519,0.84,0.336,0.273
540,33-3031.00,Fish and Game Wardens,0.138,0.07,0.794,0.0,0.714,0.761,0.571,0.524,0.761,0.667,0.143,0.623,0.431,0.557,0.909,0.333
541,33-3041.00,Parking Enforcement Workers,0.9490000000000001,0.037000000000000005,0.014,0.0,0.286,0.476,0.333,0.571,0.571,0.381,0.143,0.781,0.449,0.203,0.907,0.369
542,33-3051.00,Police and Sheriff's Patrol Officers,0.404,0.53,0.066,0.0,0.81,0.81,0.739,0.81,0.81,0.679,0.153,0.621,0.584,0.393,0.767,0.49
543,33-3051.04,Customs and Border Protection Officers,0.39,0.316,0.271,0.022,0.476,0.571,0.476,0.524,0.81,0.739,0.143,0.753,0.617,0.377,0.487,0.374
544,33-3052.00,Transit and Railroad Police,0.206,0.451,0.284,0.06,0.571,0.714,0.476,0.714,0.714,0.69,0.143,0.723,0.469,0.346,0.839,0.364
545,33-9011.00,Animal Control Workers,0.604,0.396,0.0,0.0,0.571,0.761,0.381,0.761,0.714,0.571,0.143,0.55,0.301,0.511,0.847,0.37
546,33-9021.00,Private Detectives and Investigators,0.251,0.327,0.377,0.045,0.761,0.761,0.619,0.476,0.381,0.547,0.211,0.773,0.589,0.56,0.347,0.406
547,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,0.863,0.13699999999999998,0.0,0.0,0.571,0.714,0.476,0.381,0.714,0.524,0.143,0.806,0.689,0.309,0.603,0.31
548,33-9032.00,Security Guards,0.793,0.189,0.02,0.0,0.476,0.667,0.429,0.714,0.761,0.429,0.143,0.696,0.421,0.314,0.886,0.397
549,33-9091.00,Crossing Guards and Flaggers,0.9079999999999999,0.092,0.0,0.0,0.286,0.429,0.333,0.476,0.429,0.261,0.164,0.507,0.433,0.231,0.837,0.44
550,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.603,0.384,0.012,0.0,0.714,0.667,0.429,0.81,0.761,0.404,0.143,0.501,0.409,0.32,0.911,0.594
551,33-9093.00,Transportation Security Screeners,0.889,0.111,0.0,0.0,0.381,0.476,0.476,0.714,0.857,0.453,0.143,0.81,0.356,0.316,0.759,0.309
554,33-9099.02,Retail Loss Prevention Specialists,0.7380000000000001,0.157,0.105,0.0,0.667,0.761,0.524,0.667,0.619,0.667,0.143,0.816,0.674,0.481,0.564,0.379
555,35-1011.00,Chefs and Head Cooks,0.138,0.723,0.103,0.034,0.714,0.857,0.761,0.667,0.524,0.643,0.39,0.633,0.737,0.23,0.696,0.421
556,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0.81,0.191,0.0,0.0,0.524,0.667,0.524,0.81,0.667,0.453,0.144,0.781,0.907,0.144,0.594,0.459
557,35-2011.00,"Cooks, Fast Food",1.0,0.0,0.0,0.0,0.286,0.381,0.239,0.619,0.571,0.214,0.266,0.67,0.493,0.18,0.874,0.357
558,35-2012.00,"Cooks, Institution and Cafeteria",0.73,0.20099999999999998,0.068,0.0,0.333,0.476,0.333,0.714,0.619,0.381,0.283,0.63,0.43,0.27,0.847,0.437
559,35-2013.00,"Cooks, Private Household",0.46199999999999997,0.538,0.0,0.0,0.524,0.571,0.381,0.524,0.286,0.429,0.517,0.533,0.49,0.199,0.746,0.521
560,35-2014.00,"Cooks, Restaurant",0.629,0.33599999999999997,0.009,0.026,0.476,0.571,0.381,0.619,0.667,0.476,0.35,0.609,0.549,0.2,0.829,0.397
561,35-2015.00,"Cooks, Short Order",0.8840000000000001,0.11599999999999999,0.0,0.0,0.333,0.619,0.286,0.429,0.429,0.357,0.331,0.623,0.504,0.143,0.873,0.457
563,35-2021.00,Food Preparation Workers,0.722,0.23600000000000002,0.0,0.042,0.239,0.239,0.239,0.667,0.667,0.286,0.25,0.609,0.319,0.199,0.924,0.357
564,35-3011.00,Bartenders,0.8,0.19,0.011,0.0,0.333,0.571,0.381,0.761,0.476,0.333,0.341,0.627,0.541,0.143,0.711,0.504
565,35-3023.00,Fast Food and Counter Workers,0.804,0.193,0.0,0.003,0.239,0.261,0.239,0.643,0.571,0.274,0.201,0.694,0.503,0.143,0.701,0.501
566,35-3023.01,Baristas,0.859,0.086,0.055,0.0,0.286,0.381,0.286,0.619,0.524,0.357,0.371,0.611,0.497,0.143,0.726,0.534
567,35-3031.00,Waiters and Waitresses,0.8539999999999999,0.075,0.071,0.0,0.333,0.333,0.286,0.857,0.476,0.286,0.276,0.647,0.593,0.143,0.581,0.689
568,35-3041.00,"Food Servers, Nonrestaurant",0.752,0.12,0.062,0.066,0.239,0.333,0.239,0.524,0.524,0.333,0.294,0.559,0.399,0.201,0.717,0.59
569,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0.964,0.036000000000000004,0.0,0.0,0.239,0.286,0.239,0.761,0.429,0.239,0.146,0.657,0.324,0.143,0.801,0.524
